,Title,Year,Rated,Released,Primary_Genre,Genre,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,BoxOffice,Metascore,imdbRating,imdbVotes,Type,popularity,vote_average,vote_count,trakt_vote_average,trakt_vote_count,Actor1,Actor2,Actor3,RottenTomatoesRating,MetacriticRating,Oscar Wins,Oscar Nominations,BAFTA Wins,Primetime Emmy Wins,Overall Wins,Overall Nominations
2071,Treasure Planet,2002,PG,29 Nov 2002,Animation,"Animation, Adventure, Family",95.0,"Ron Clements, John Musker","Robert Louis Stevenson, Ron Clements, John Musker","Joseph Gordon-Levitt, Emma Thompson, Martin Short","Jim Hawkins is a teenager who finds the map of a great treasure hidden by a space pirate. Together with some friends, he sets off in a large spaceship, shaped like a caravel, on his quest.",English,"United States, Japan",Nominated for 1 Oscar. 1 win & 14 nominations total,38176783.0,60.0,7.2,138038,movie,43.586,7.6,4191,7.63599,7151.0,Joseph Gordon-Levitt, Emma Thompson, Martin Short,69%,60/100,0,0,0,0,0,0
2072,Tears of the Sun,2003,R,07 Mar 2003,Action,"Action, Drama, Thriller",121.0,Antoine Fuqua,"Alex Lasker, Patrick Cirillo","Bruce Willis, Cole Hauser, Monica Bellucci",A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,English,United States,2 nominations total,43734876.0,48.0,6.6,133026,movie,43.55,6.861,2306,7.0012,3334.0,Bruce Willis, Cole Hauser, Monica Bellucci,34%,48/100,0,0,0,0,0,0
2073,The Prince of Egypt,1998,PG,18 Dec 1998,Animation,"Animation, Adventure, Drama",99.0,"Brenda Chapman, Steve Hickner, Simon Wells","Philip LaZebnik, Nicholas Meyer","Val Kilmer, Ralph Fiennes, Michelle Pfeiffer",Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,"English, Hebrew","United States, Canada",Won 1 Oscar. 12 wins & 27 nominations total,101413188.0,64.0,7.2,151350,movie,43.542,7.3,3963,7.46778,5370.0,Val Kilmer, Ralph Fiennes, Michelle Pfeiffer,80%,64/100,1,0,0,0,12,27
2074,You Only Live Twice,1967,PG,13 Jun 1967,Action,"Action, Adventure, Thriller",117.0,Lewis Gilbert,"Harold Jack Bloom, Roald Dahl, Ian Fleming","Sean Connery, Akiko Wakabayashi, Mie Hama","James Bond and the Japanese Secret Service must find and stop the true culprit of a series of space hijackings, before war is provoked between Russia and the United States.","English, Japanese, Russian","United Kingdom, Japan",Nominated for 1 BAFTA Award2 wins & 3 nominations total,43084787.0,61.0,6.8,119988,movie,43.512,6.6,2181,7.01419,4439.0,Sean Connery, Akiko Wakabayashi, Mie Hama,74%,61/100,0,0,0,0,0,0
2075,Jungle Cruise,2021,PG-13,30 Jul 2021,Action,"Action, Adventure, Comedy",127.0,Jaume Collet-Serra,"Michael Green, Glenn Ficarra, John Requa","Dwayne Johnson, Emily Blunt, Edgar Ramírez",Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"English, German, Spanish, Tupi, Italian, Portuguese, Latin, French","United States, Hungary, Canada",5 wins & 9 nominations,116987516.0,50.0,6.6,217887,movie,43.5,7.4,5676,6.99971,13717.0,Dwayne Johnson, Emily Blunt, Edgar Ramírez,62%,50/100,0,0,0,0,5,9
2076,When Evil Lurks,2023,NOT RATED,27 Oct 2023,Horror,Horror,99.0,Demián Rugna,Demián Rugna,"Ezequiel Rodríguez, Demián Salomón, Silvina Sabater","In a remote village, two brothers find a demon-infected man just about to ""give birth"" to evil itself. They decide to get rid of the body, only to end up unintentionally spreading chaos.",Spanish,"Argentina, United States",8 wins & 22 nominations total,546626.0,75.0,6.9,46901,movie,43.494,7.336,1010,7.03209,2555.0,Ezequiel Rodríguez, Demián Salomón, Silvina Sabater,96%,75/100,0,0,0,0,8,22
2077,Terminator 3: Rise of the Machines,2003,R,02 Jul 2003,Action,"Action, Sci-Fi",109.0,Jonathan Mostow,"John Brancato, Michael Ferris, Tedi Sarafian","Arnold Schwarzenegger, Nick Stahl, Kristanna Loken",John Connor must face a female Terminatrix with power over all the machines. But a new T-800 unit Terminator sent back through time will guide him through the coming battle.,English,"United States, Germany, United Kingdom",3 wins & 24 nominations,150371112.0,66.0,6.3,424110,movie,43.44,6.165,6619,6.59998,12592.0,Arnold Schwarzenegger, Nick Stahl, Kristanna Loken,70%,66/100,0,0,0,0,3,24
2078,S.W.A.T.,2003,PG-13,08 Aug 2003,Action,"Action, Adventure, Crime",117.0,Clark Johnson,"Robert Hamner, Ron Mita, Jim McClain","Samuel L. Jackson, Colin Farrell, Michelle Rodriguez","An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.","English, Spanish, French",United States,5 wins & 5 nominations,116934650.0,45.0,6.1,155855,movie,43.415,6.16,2479,6.44221,4274.0,Samuel L. Jackson, Colin Farrell, Michelle Rodriguez,48%,45/100,0,0,0,0,5,5
2079,American Gangster,2007,R,02 Nov 2007,Biography,"Biography, Crime, Drama",157.0,Ridley Scott,"Steven Zaillian, Mark Jacobson","Denzel Washington, Russell Crowe, Chiwetel Ejiofor","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.","English, Thai, Spanish","United States, United Kingdom",Nominated for 2 Oscars. 12 wins & 38 nominations total,130164645.0,76.0,7.8,467226,movie,43.392,7.6,5423,7.8533,9809.0,Denzel Washington, Russell Crowe, Chiwetel Ejiofor,81%,76/100,0,0,0,0,0,0
2080,Ruthless,2023,R,13 Apr 2024,Action,"Action, Thriller",92.0,Art Camacho,"Art Camacho, James Dean Simington, Javier Reyna","Dermot Mulroney, Jeff Fahey, Mauricio Mendoza","A high school coach, whose teenage daughter was murdered, takes matters into his own hands by going after the men who kidnapped his student for their human trafficking operation.",English,United States,None,0.0,,5.1,1606,movie,43.391,6.7,90,6.64323,967.0,Dermot Mulroney, Jeff Fahey, Mauricio Mendoza,38%,,0,0,0,0,0,0
2081,Cloverfield,2008,PG-13,18 Jan 2008,Action,"Action, Horror, Sci-Fi",85.0,Matt Reeves,Drew Goddard,"Mike Vogel, Jessica Lucas, Lizzy Caplan",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,"English, Russian, French, Japanese",United States,5 wins & 34 nominations total,80048433.0,64.0,7.0,429579,movie,43.382,6.692,7058,6.93044,13297.0,Mike Vogel, Jessica Lucas, Lizzy Caplan,79%,64/100,0,0,0,0,5,34
2082,Chicken Run,2000,G,23 Jun 2000,Animation,"Animation, Adventure, Comedy",84.0,"Peter Lord, Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick","Mel Gibson, Julia Sawalha, Phil Daniels","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",English,"United Kingdom, France, United States",Nominated for 2 BAFTA 24 wins & 27 nominations total,106834564.0,88.0,7.1,216451,movie,43.374,6.824,5021,7.10269,7985.0,Mel Gibson, Julia Sawalha, Phil Daniels,97%,88/100,0,0,0,0,0,0
2083,The Last Airbender,2010,PG,01 Jul 2010,Action,"Action, Adventure, Family",103.0,M. Night Shyamalan,M. Night Shyamalan,"Noah Ringer, Nicola Peltz Beckham, Jackson Rathbone","Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",English,"United States, Vietnam, United Kingdom, Canada, Denmark",8 wins & 12 nominations total,131772187.0,20.0,4.0,177305,movie,43.353,4.6,3965,4.50964,7260.0,Noah Ringer, Nicola Peltz Beckham, Jackson Rathbone,5%,20/100,0,0,0,0,8,12
2084,Kill Bill: Vol. 2,2004,R,16 Apr 2004,Action,"Action, Crime, Thriller",137.0,Quentin Tarantino,"Quentin Tarantino, Uma Thurman","Uma Thurman, David Carradine, Michael Madsen","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","English, Cantonese, Mandarin, Spanish",United States,23 wins & 84 nominations total,66208183.0,83.0,8.0,827023,movie,43.253,7.878,13873,8.02184,22394.0,Uma Thurman, David Carradine, Michael Madsen,84%,83/100,0,0,0,0,23,84
