,Title,Year,Rated,Released,Primary_Genre,Genre,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,BoxOffice,Metascore,imdbRating,imdbVotes,Type,popularity,vote_average,vote_count,trakt_vote_average,trakt_vote_count,Actor1,Actor2,Actor3,RottenTomatoesRating,MetacriticRating,Oscar Wins,Oscar Nominations,BAFTA Wins,Primetime Emmy Wins,Overall Wins,Overall Nominations
4251,Excalibur,1981,PG,10 Apr 1981,Adventure,"Adventure, Drama, Fantasy",140.0,John Boorman,"Thomas Malory, Rospo Pallenberg, John Boorman","Nigel Terry, Helen Mirren, Nicholas Clay","Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart.",English,"United Kingdom, United States",Nominated for 1 Oscar. 2 wins & 11 nominations total,34967437.0,56.0,7.3,68879,movie,20.091,6.9,1002,7.30185,1567.0,Nigel Terry, Helen Mirren, Nicholas Clay,72%,56/100,0,0,0,0,0,0
4252,8½,1963,NOT RATED,24 Jun 1963,Drama,Drama,138.0,Federico Fellini,"Federico Fellini, Ennio Flaiano, Tullio Pinelli","Marcello Mastroianni, Anouk Aimée, Claudia Cardinale",A harried movie director retreats into his memories and fantasies.,"Italian, French, English, German","Italy, France",Won 2 Oscars. 19 wins & 9 nominations total,98760.0,93.0,8.0,127693,movie,20.084,8.148,2274,7.84921,1711.0,Marcello Mastroianni, Anouk Aimée, Claudia Cardinale,97%,93/100,2,0,0,0,19,9
4253,"I Love You, Beth Cooper",2009,PG-13,10 Jul 2009,Adventure,"Adventure, Comedy, Family",102.0,Chris Columbus,Larry Doyle,"Hayden Panettiere, Paul Rust, Jack Carpenter","A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life.",English,"United States, Canada, United Kingdom",1 win & 1 nomination,14800725.0,32.0,5.3,37966,movie,20.083,6.0,869,5.92118,1421.0,Hayden Panettiere, Paul Rust, Jack Carpenter,13%,32/100,0,0,0,0,1,1
4254,Sniper: Assassin's End,2020,R,16 Jun 2020,Action,"Action, Thriller",95.0,Kaare Andrews,"Oliver Thompson, Michael Frost Beckner (based on a characters created by)","Chad Michael Collins, Sayaka Akimoto, Tom Berenger, Ryan Robbins","Legendary sniper Thomas Beckett and his son, Special Ops Sniper Brandon Beckett, are on the run from the CIA, Russian Mercenaries, and a Yakuza-trained assassin with sniper skills that rival both legendary sharp shooters.","English, Japanese",USA,3 nominations.,0.0,,5.4,1536,movie,20.08,6.2,205,6.25439,570.0,Chad Michael Collins, Sayaka Akimoto, Tom Berenger,,,0,0,0,0,0,0
4255,Winnie the Pooh,2011,G,29 Aug 2011,Animation,"Animation, Adventure, Comedy",63.0,"Stephen J. Anderson, Don Hall","Stephen J. Anderson, Clio Chiang, Don Dougherty","Jim Cummings, Craig Ferguson, John Cleese","While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.",English,"United States, Canada",2 wins & 25 nominations,26692846.0,74.0,7.1,29065,movie,20.079,6.9,866,7.34409,2572.0,Jim Cummings, Craig Ferguson, John Cleese,90%,74/100,0,0,0,0,2,25
4256,The Spectacular Now,2013,R,13 Sep 2013,Drama,"Drama, Romance",95.0,James Ponsoldt,"Scott Neustadter, Michael H. Weber, Tim Tharp","Miles Teller, Shailene Woodley, Kyle Chandler","A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",English,United States,9 wins & 32 nominations,6854611.0,82.0,7.0,163714,movie,20.078,6.657,2847,7.02269,4496.0,Miles Teller, Shailene Woodley, Kyle Chandler,92%,82/100,0,0,0,0,9,32
4257,Bulletproof Monk,2003,PG-13,16 Apr 2003,Action,"Action, Comedy, Fantasy",104.0,Paul Hunter,"Ethan Reiff, Cyrus Voris","Chow Yun-Fat, Seann William Scott, Jaime King","Based on the very underground comic book of the same name, a Tibetan monk becomes a mentor to a young street punk and tries teaching him how to protect the scroll of ultimate power from a secret Nazi organization bent on world dom...","English, Tibetan, Punjabi, German","United States, Canada",1 nomination,23358708.0,40.0,5.5,52650,movie,20.076,5.5,909,6.16147,1765.0,Chow Yun-Fat, Seann William Scott, Jaime King,23%,40/100,0,0,0,0,0,0
4258,Police Academy 3: Back in Training,1986,PG,21 Mar 1986,Comedy,Comedy,83.0,Jerry Paris,"Neal Israel, Pat Proft, Gene Quintano","Steve Guttenberg, Bubba Smith, David Graf",The alumni of Commandant Lassard's Police Academy (1984) return to the school to train new recruits and prevent its closure.,English,United States,1 win total,43579163.0,33.0,5.4,49718,movie,20.072,5.812,1216,6.46338,2458.0,Steve Guttenberg, Bubba Smith, David Graf,36%,33/100,0,0,0,0,0,0
4259,Reptile,2023,R,29 Sep 2023,Crime,"Crime, Drama, Mystery",134.0,Grant Singer,"Grant Singer, Benjamin Brewer, Benicio Del Toro","Benicio Del Toro, Justin Timberlake, Eric Bogosian","Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.",English,United States,None,0.0,52.0,6.8,99860,movie,20.066,6.701,956,6.88344,3363.0,Benicio Del Toro, Justin Timberlake, Eric Bogosian,44%,52/100,0,0,0,0,0,0
4260,Stuart Little 3: Call of the Wild,2005,G,21 Feb 2006,Animation,"Animation, Comedy, Family, Fantasy",72.0,Audu Paden,"E.B. White (based on characters from the book by), Douglas Wick (story by), Bob Shaw (screenplay by), Don McEnery (screenplay by), Bill Motz (additional writing), Bob Roth (additional writing)","Michael J. Fox, Geena Davis, Hugh Laurie, Wayne Brady","The Little family spend their vacation near Lake Garland. Meanwhile, in the forest, a beast is threatening the animals to give her food every night.",English,USA,None,0.0,,4.3,4169,movie,20.052,5.221,488,5.44626,428.0,Michael J. Fox, Geena Davis, Hugh Laurie,,,0,0,0,0,0,0
4261,Insomnia,2002,R,24 May 2002,Drama,"Drama, Mystery, Thriller",118.0,Christopher Nolan,"Hillary Seitz, Nikolaj Frobenius, Erik Skjoldbjærg","Al Pacino, Robin Williams, Hilary Swank","Will Dormer, a police detective, is sent to investigate a teenage girl's murder to a small fishing town where he accidentally shoots his co-detective and is afflicted by insomnia brought by the guilt.",English,"United States, United Kingdom",1 win & 11 nominations,67355513.0,78.0,7.2,324762,movie,20.046,6.9,4732,7.18966,7018.0,Al Pacino, Robin Williams, Hilary Swank,92%,78/100,0,0,0,0,1,11
4262,Rebel Without a Cause,1955,PG-13,27 Oct 1955,Drama,Drama,111.0,Nicholas Ray,"Stewart Stern, Irving Shulman, Nicholas Ray","James Dean, Natalie Wood, Sal Mineo","A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",English,United States,Nominated for 3 Oscars. 3 wins & 7 nominations total,212780.0,89.0,7.6,99473,movie,20.043,7.515,1607,7.44566,1822.0,James Dean, Natalie Wood, Sal Mineo,93%,89/100,0,0,0,0,0,0
4263,Veteran,2015,NOT RATED,05 Aug 2015,Action,"Action, Comedy, Crime",123.0,Ryoo Seung-wan,Ryoo Seung-wan,"Hwang Jung-min, Yoo Ah-in, Yoo Hae-jin",An honest cop seeks justice for a common man against all odds. A rich boy seeks revenge on the cop.,"Korean, Russian, English",South Korea,25 wins & 45 nominations,1200627.0,,7.0,8185,movie,20.036,6.9,205,0.0,0.0,Hwang Jung-min, Yoo Ah-in, Yoo Hae-jin,89%,,0,0,0,0,25,45
4264,Legacy of Lies,2020,R,28 Jul 2020,Action,"Action, Thriller",101.0,Adrian Bol,Adrian Bol,"Scott Adkins, Anna Butkevich, Julia Bol",An ex-MI6 agent is thrown back into the world of espionage and high stakes to uncover the shocking truth about operations conducted by unknown secret services.,"English, Ukrainian, Russian","Netherlands, United Kingdom, Poland, Ukraine, United States",13 wins & 10 nominations total,0.0,,5.1,4484,movie,20.034,5.551,226,5.98021,657.0,Scott Adkins, Anna Butkevich, Julia Bol,86%,,0,0,0,0,13,10
4265,Secret in Their Eyes,2015,PG-13,20 Nov 2015,Crime,"Crime, Drama, Mystery",111.0,Billy Ray,"Billy Ray, Juan José Campanella, Eduardo Sacheri","Chiwetel Ejiofor, Nicole Kidman, Julia Roberts","A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered.",English,"United States, United Kingdom, Spain, South Korea",2 wins & 3 nominations total,20180155.0,45.0,6.3,52962,movie,20.033,6.371,1333,6.73963,3591.0,Chiwetel Ejiofor, Nicole Kidman, Julia Roberts,39%,45/100,0,0,0,0,2,3
4266,Taxi 5,2018,PG-13,11 Apr 2018,Action,"Action, Comedy, Crime",102.0,Franck Gastambide,"Franck Gastambide, Stéphane Kazandjian, Luc Besson","Franck Gastambide, Malik Bentalha, Bernard Farcy","A police officer who's transferred in the police of Marseilles gets assigned to take down a group of Italian robbers who drive the powerful Ferraris with the older nephew of Daniel, a terrible driver who gets the legendary white t...","French, Italian","France, Morocco",1 win & 2 nominations total,0.0,,4.6,11265,movie,20.03,5.4,1005,5.39716,1269.0,Franck Gastambide, Malik Bentalha, Bernard Farcy,0%,,0,0,0,0,1,2
4267,Rogue,2007,R,08 Nov 2007,Action,"Action, Drama, Horror",99.0,Greg McLean,Greg McLean,"Michael Vartan, Radha Mitchell, Sam Worthington",An American journalist on assignment in the Australian outback encounters a man-eating crocodile while trapped on a rapidly flooding mud island.,English,"Australia, United States",1 win & 4 nominations total,10452.0,,6.2,34399,movie,20.028,5.606,686,6.48678,908.0,Michael Vartan, Radha Mitchell, Sam Worthington,83%,,0,0,0,0,1,4
4268,A Nightmare on Elm Street 4: The Dream Master,1988,R,19 Aug 1988,Horror,Horror,93.0,Renny Harlin,"Wes Craven, William Kotzwinkle, Brian Helgeland","Robert Englund, Rodney Eastman, John Beckman","Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.",English,United States,2 wins & 9 nominations,49369899.0,56.0,5.6,63816,movie,20.025,5.857,1424,6.16342,2564.0,Robert Englund, Rodney Eastman, John Beckman,55%,56/100,0,0,0,0,2,9
4269,God Is a Bullet,2023,NOT RATED,23 Jun 2023,Action,"Action, Crime, Horror",156.0,Nick Cassavetes,"Boston Teran, Nick Cassavetes","Maika Monroe, Nikolaj Coster-Waldau, Karl Glusman","Taking matters into his own hands, Detective Bob Hightower tries to infiltrate an evil cult to save his kidnapped daughter and avenge the murder of his wife.",English,United States,None,0.0,31.0,5.7,7932,movie,20.012,6.1,197,6.63724,929.0,Maika Monroe, Nikolaj Coster-Waldau, Karl Glusman,24%,31/100,0,0,0,0,0,0
4270,Brazil,1985,R,18 Dec 1985,Drama,"Drama, Sci-Fi, Thriller",132.0,Terry Gilliam,"Terry Gilliam, Tom Stoppard, Charles McKeown","Jonathan Pryce, Kim Greist, Robert De Niro",A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,English,"United Kingdom, United States",Nominated for 2 Oscars. 9 wins & 6 nominations total,9929135.0,84.0,7.8,214632,movie,19.999,7.7,3287,7.849,4788.0,Jonathan Pryce, Kim Greist, Robert De Niro,98%,84/100,0,0,0,0,0,0
4271,Tom and Jerry: Willy Wonka and the Chocolate Factory,2017,NOT RATED,27 Jun 2017,Animation,"Animation, Adventure, Comedy, Family, Fantasy, Musical",79.0,Spike Brandt,"Gene Grillo, William Hanna (based on ""Tom and Jerry"" created by), Joseph Barbera (based on ""Tom and Jerry"" created by), Roald Dahl (based on the novel ""Charlie and the Chocolate Factory"" by)","JP Karliak, Jess Harnell, Lincoln Melcher, Mick Wingert",The classic Roald Dahl tale gets a modern twist when Tom and Jerry enter the amazing world of Willy Wonka's Chocolate Factory.,English,USA,None,0.0,,4.6,942,movie,19.996,6.7,150,6.80753,239.0,JP Karliak, Jess Harnell, Lincoln Melcher,,,0,0,0,0,0,0
4272,All the Old Knives,2022,R,08 Apr 2022,Mystery,"Mystery, Thriller",101.0,Janus Metz,Olen Steinhauer,"Goksin Erdemli, Kasia Madera, Chris Pine",Veteran CIA agent Henry is reunited in Vienna with his former colleague and lover Celia.,English,United States,1 win,0.0,62.0,6.1,29789,movie,19.992,6.002,534,6.40653,2113.0,Goksin Erdemli, Kasia Madera, Chris Pine,63%,62/100,0,0,0,0,0,0
4273,The Maltese Falcon,1941,APPROVED,18 Oct 1941,Crime,"Crime, Film-Noir, Mystery",100.0,John Huston,"John Huston, Dashiell Hammett","Humphrey Bogart, Mary Astor, Gladys George","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",English,United States,Nominated for 3 Oscars. 5 wins & 4 nominations total,18180.0,97.0,7.9,169457,movie,19.987,7.706,1679,7.7254,2571.0,Humphrey Bogart, Mary Astor, Gladys George,99%,97/100,0,0,0,0,0,0
4274,Jiu Jitsu,2020,R,20 Nov 2020,Action,"Action, Sci-Fi, Thriller",102.0,Dimitri Logothetis,"Dimitri Logothetis, Jim McGrath","Alain Moussi, Nicolas Cage, Raymond Pinharry","Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.","English, Burmese",United States,None,0.0,27.0,2.9,10785,movie,19.985,4.834,610,4.24829,1466.0,Alain Moussi, Nicolas Cage, Raymond Pinharry,27%,27/100,0,0,0,0,0,0
4275,Batman: Year One,2011,PG-13,18 Oct 2011,Animation,"Animation, Action, Crime, Drama, Thriller",64.0,"Sam Liu, Lauren Montgomery","Bob Kane (Batman created by), Tab Murphy, Frank Miller (graphic novel), David Mazzucchelli (graphic novel), Richmond Lewis (graphic novel)","Bryan Cranston, Ben McKenzie, Eliza Dushku, Jon Polito",A wealthy playboy and a Chicago cop both return to Gotham City where their lives will intersect in unexpected ways.,"English, French, Spanish",USA,1 win.,0.0,,7.4,32117,movie,19.985,7.2,948,7.56057,2592.0,Bryan Cranston, Ben McKenzie, Eliza Dushku,89%,,0,0,0,0,0,0
4276,Raid on Entebbe,1976,NOT RATED,26 Dec 1976,Action,"Action, Drama, History",145.0,Irvin Kershner,Barry Beckerman,"Peter Finch, Charles Bronson, Yaphet Kotto",True story of a daring Israeli commando assault on the Entebbe Airport in Uganda to free hostages of a terrorist hijacking.,"French, Hebrew, English",United States,Won 2 Primetime Emmys. 3 wins & 8 nominations total,0.0,,6.7,3884,movie,19.984,6.0,52,6.63235,68.0,Peter Finch, Charles Bronson, Yaphet Kotto,,,0,0,0,0,0,0
4277,Hard Candy,2005,R,28 Apr 2006,Drama,"Drama, Thriller",104.0,David Slade,Brian Nelson,"Patrick Wilson, Elliot Page, Sandra Oh","Hayley's a smart, charming teenage girl. Jeff's a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff's place. Jeff thinks it's his lucky night. He's in for a sur...",English,United States,10 wins & 13 nominations,1024640.0,58.0,7.0,170142,movie,19.976,6.821,2546,7.21809,4411.0,Patrick Wilson, Elliot Page, Sandra Oh,67%,58/100,0,0,0,0,10,13
4278,Double Rope Torture,1985,PG-13,15 Jan 1985,Drama,"Drama, Horror",74.0,Ikuo Sekimoto,Oniroku Dan,"Miki Takakura, Kaori Asô, Anna",No plot available,Japanese,Japan,None,0.0,,5.6,17,movie,19.97,3.5,4,8.375,16.0,Miki Takakura, Kaori Asô, Anna,,,0,0,0,0,0,0
4279,Coyote Ugly,2000,PG-13,04 Aug 2000,Comedy,"Comedy, Drama, Music",100.0,David McNally,Gina Wendkos,"Piper Perabo, Adam Garcia, John Goodman","Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",English,United States,4 wins & 8 nominations total,60786269.0,27.0,5.7,123411,movie,19.969,6.3,2074,6.5749,4406.0,Piper Perabo, Adam Garcia, John Goodman,23%,27/100,0,0,0,0,4,8
4280,Detective Conan: The Scarlet Bullet,2021,PG-13,16 Apr 2021,Animation,"Animation, Action, Crime",110.0,Tomoka Nagaoka,"Gôshô Aoyama, Jun'ichi Iioka, Takeharu Sakurai","Minami Takayama, Wakana Yamazaki, Rikiya Koyama",Japan is celebrating the upcoming World Sports Games in Tokyo. The world's first vacuum-tube super-conducting linear train is built with the latest Japanese technology and timed to coincide with the WSG opening ceremonies.,Japanese,Japan,None,0.0,,6.2,1851,movie,19.959,6.5,77,6.95906,171.0,Minami Takayama, Wakana Yamazaki, Rikiya Koyama,,,0,0,0,0,0,0
4281,Hanna,2011,PG-13,08 Apr 2011,Action,"Action, Adventure, Drama",111.0,Joe Wright,"Seth Lochhead, David Farr","Saoirse Ronan, Cate Blanchett, Eric Bana","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.","English, French, German, Italian, Arabic, Spanish","United States, United Kingdom, Germany",8 wins & 26 nominations total,40259119.0,65.0,6.7,209440,movie,19.956,6.6,3354,7.12068,6919.0,Saoirse Ronan, Cate Blanchett, Eric Bana,71%,65/100,0,0,0,0,8,26
4282,Coneheads,1993,PG,23 Jul 1993,Comedy,"Comedy, Sci-Fi",88.0,Steve Barron,"Tom Davis, Dan Aykroyd, Bonnie Turner","Dan Aykroyd, Jane Curtin, Robert Knott",Aliens with conical crania crash-land on Earth.,English,United States,2 nominations total,21274717.0,49.0,5.4,59269,movie,19.95,5.422,912,6.06042,1920.0,Dan Aykroyd, Jane Curtin, Robert Knott,37%,49/100,0,0,0,0,0,0
4283,Her Blue Sky,2019,PG-13,11 Oct 2019,Animation,"Animation, Drama, Family",106.0,Tatsuyuki Nagai,"Tatsuyuki Nagai, Mari Okada, Masayoshi Tanaka","Miya Kodama, Anthony Ma, Edward Hong","Second-year high school student Aoi Aioi is an aspiring musician. Her older sister Akane's ex-boyfriend Shinnosuke Kanomura is a struggling guitarist. Aoi and Akane's parents passed away in an accident 13 years ago, and Akane gave...",Japanese,Japan,2 wins & 3 nominations,0.0,,6.8,1721,movie,19.949,7.226,135,7.02395,167.0,Miya Kodama, Anthony Ma, Edward Hong,,,0,0,0,0,2,3
4284,Goebbels and the Führer,2024,PG-13,12 Sep 2024,Biography,"Biography, Drama, History",135.0,Joachim Lang,Joachim Lang,"Robert Stadlober, Fritz Karl, Franziska Weisz",Nazi propaganda minister Joseph Goebbels is in charge of building public support for the Holocaust and for the war that Hitler is about to start.,German,"Germany, Slovakia",1 win total,0.0,,6.7,1458,movie,19.948,6.9,17,6.89899,99.0,Robert Stadlober, Fritz Karl, Franziska Weisz,,,0,0,0,0,0,0
4285,Maggie,2015,PG-13,08 May 2015,Drama,"Drama, Horror, Sci-Fi",95.0,Henry Hobson,John Scott 3,"Arnold Schwarzenegger, Abigail Breslin, Joely Richardson","A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side.",English,"United States, Switzerland",1 win & 4 nominations total,187112.0,52.0,5.6,47395,movie,19.946,5.377,1570,5.80764,3062.0,Arnold Schwarzenegger, Abigail Breslin, Joely Richardson,60%,52/100,0,0,0,0,1,4
4286,Vice,2018,R,25 Dec 2018,Biography,"Biography, Comedy, Drama",132.0,Adam McKay,Adam McKay,"Christian Bale, Amy Adams, Steve Carell","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.","English, Arabic",United States,Won 1 Oscar. 35 wins & 139 nominations total,47836282.0,61.0,7.2,166760,movie,19.943,4.346,543,0.0,0.0,Christian Bale, Amy Adams, Steve Carell,64%,61/100,1,0,0,0,35,139
4287,In Her Shoes,2005,PG-13,07 Oct 2005,Comedy,"Comedy, Drama, Romance",130.0,Curtis Hanson,"Jennifer Weiner, Susannah Grant","Toni Collette, Cameron Diaz, Shirley MacLaine","Strait-laced Rose breaks off relations with her party girl sister, Maggie, over an indiscretion involving Rose's boyfriend. The chilly atmosphere is broken with the arrival of Ella, the grandmother neither sister knew existed.",English,"United Kingdom, Germany, United States",1 win & 7 nominations total,32880591.0,60.0,6.5,66042,movie,19.942,6.2,1185,6.58089,1434.0,Toni Collette, Cameron Diaz, Shirley MacLaine,74%,60/100,0,0,0,0,1,7
4288,Frankenstein,1931,APPROVED,21 Nov 1931,Drama,"Drama, Horror, Sci-Fi",70.0,James Whale,"John L. Balderston, Mary Shelley, Peggy Webling","Colin Clive, Mae Clarke, Boris Karloff",Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.,"English, Latin",United States,4 wins & 3 nominations,0.0,91.0,7.8,82182,movie,19.942,7.5,1577,7.41976,1913.0,Colin Clive, Mae Clarke, Boris Karloff,94%,91/100,0,0,0,0,4,3
4289,Buffalo Kids,2024,PG-13,14 Aug 2024,Animation,"Animation, Adventure, Comedy",93.0,"Juan Jesús García Galocha, Pedro Solís García","Jordi Gasull, Javier López Barreira, Pedro Solís García","Gemma Arterton, Sean Bean, Eliza Rae Butler","Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way.","Spanish, Catalan, English",Spain,6 nominations total,0.0,,6.6,483,movie,19.933,6.75,10,7.81731,208.0,Gemma Arterton, Sean Bean, Eliza Rae Butler,,,0,0,0,0,0,0
4290,Hope,2013,NOT RATED,04 Apr 2017,Drama,Drama,122.0,Lee Joon-ik,Ji-hye Kim,"Lee Re, Sul Kyung-gu, Uhm Ji-won","Story of an 8-year-old girl who faces a horrible rape that damages her internally and affects her emotionally, trying to overcome all the obstacles following the incident with the good support of those around her.",Korean,South Korea,7 wins & 13 nominations total,0.0,,8.2,10383,movie,19.928,8.377,738,7.22222,9.0,Lee Re, Sul Kyung-gu, Uhm Ji-won,,,0,0,0,0,7,13
4291,The Channel,2023,PG-13,14 Jul 2023,Action,"Action, Crime, Thriller",95.0,William Kaufman,"William Kaufman, Paul Reichelt","Clayne Crawford, Max Martini, Nicoye Banks","After their bank heist goes wrong, a desperate criminal, his out-of-control brother, and their motley crew of ex-marines must escape New Orleans and the determined FBI agent who pursues them.",English,United States,None,0.0,,5.6,2392,movie,19.926,6.3,49,4.76923,13.0,Clayne Crawford, Max Martini, Nicoye Banks,67%,,0,0,0,0,0,0
4292,The Tin Drum,1979,R,11 Apr 1980,Drama,"Drama, War",142.0,Volker Schlöndorff,"Günter Grass, Jean-Claude Carrière, Volker Schlöndorff","David Bennent, Mario Adorf, Angela Winkler","In 1924, Oskar Matzerath is born in the Free City of Danzig. At age three, he falls down a flight of stairs and stops growing. In 1939, World War II breaks out.","German, Italian, Hebrew, Polish, Russian, Latin","West Germany, France, Poland",Won 1 Oscar. 18 wins & 6 nominations total,0.0,63.0,7.4,26516,movie,19.924,6.941,465,7.2028,429.0,David Bennent, Mario Adorf, Angela Winkler,84%,63/100,1,0,0,0,18,6
4293,Largo Winch II,2011,NOT RATED,16 Feb 2011,Action,"Action, Adventure, Thriller",114.0,Jérôme Salle,"Julien Rappeneau, Jérôme Salle, Jean Van Hamme","Tomer Sisley, Sharon Stone, Ulrich Tukur","Largo Winch, the newly appointed CEO of the W Group, is accused of crimes against humanity on the very day he announces his intention to sell his corporation and use the proceeds to create a humanitarian foundation.","French, English, Thai, Serbian","France, Belgium, Germany, Hong Kong",1 win,0.0,,6.1,8361,movie,19.919,5.892,353,6.41921,458.0,Tomer Sisley, Sharon Stone, Ulrich Tukur,,,0,0,0,0,0,0
4294,Black Rain,1989,R,22 Sep 1989,Action,"Action, Crime, Drama",125.0,Ridley Scott,"Craig Bolotin, Warren Lewis","Michael Douglas, Andy Garcia, Ken Takakura",Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,"English, Japanese","United States, Japan",Nominated for 2 Oscars. 1 win & 6 nominations total,46212055.0,56.0,6.6,61051,movie,19.918,6.589,1079,6.93651,63.0,Michael Douglas, Andy Garcia, Ken Takakura,54%,56/100,0,0,0,0,0,0
4295,Shin Chan: The Adult Empire Strikes Back,2001,PG-13,21 Apr 2001,Animation,"Animation, Action, Adventure",90.0,Keiichi Hara,"Yoshito Usui, Keiichi Hara","Akiko Yajima, Miki Narahashi, Keiji Fujiwara","When a new threat regresses the minds of the adults of Kasukabe back into children, its up to Shinnosuke and his friends to reclaim their parents from becoming trapped in the nostalgia of the 20th Century.",Japanese,Japan,None,0.0,,7.8,1292,movie,19.914,8.3,65,7.74026,77.0,Akiko Yajima, Miki Narahashi, Keiji Fujiwara,,,0,0,0,0,0,0
4296,Tropic of Desire,1979,X,29 Jun 1979,Adult,"Adult, Drama",75.0,Bob Chinn,Jeffrey Fairbanks,"Georgina Spelvin, Jesie St. James, Kitty Shayne","The infamous World War II cat house, The Pink Flamingo, is the setting where Frances, the warm-hearted madam, caters to the sex starved servicemen. Includes nostalgia, via the sets and period music, and a stag film within the film.",English,United States,None,0.0,,5.2,165,movie,19.902,8.0,1,5.69231,13.0,Georgina Spelvin, Jesie St. James, Kitty Shayne,,,0,0,0,0,0,0
4297,I'm for the Hippopotamus,1979,PG-13,05 Dec 1979,Action,"Action, Adventure, Comedy",92.0,Italo Zingarelli,"Barbara Alberti, Amedeo Pagani, Vincenzo Mannino","Terence Hill, Bud Spencer, Joe Bugner","In Africa, 2 expat ""brothers"" are usually at each other's throats but now have a common enemy. Ormond's men are shooting or catching much of the wildlife for export as well as forcing the locals off their land. Lots of fun fights ...","Italian, English","Italy, South Africa, West Germany, United States",2 wins & 1 nomination,0.0,,6.6,9608,movie,19.902,6.8,462,7.34458,415.0,Terence Hill, Bud Spencer, Joe Bugner,,,0,0,0,0,2,1
4298,Looney Tunes: Back in Action,2003,PG,01 Nov 2003,Animation,"Animation, Adventure, Comedy",91.0,Joe Dante,Larry Doyle,"Brendan Fraser, Jenna Elfman, Steve Martin",Bugs Bunny and Daffy Duck team up with an aspiring stuntman and a studio executive in order to rescue the stuntman's missing father and locate a mythical diamond before the head of a major conglomerate uses it for his own wicked d...,English,"Germany, United States",10 nominations total,20991364.0,64.0,5.8,41269,movie,19.899,6.3,1496,6.3669,1698.0,Brendan Fraser, Jenna Elfman, Steve Martin,58%,64/100,0,0,0,0,0,0
4299,Harakiri,1962,NOT RATED,04 Aug 1964,Drama,"Drama, Mystery",133.0,Masaki Kobayashi,"Yasuhiko Takiguchi, Shinobu Hashimoto","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Japanese,Japan,9 wins & 3 nominations total,0.0,85.0,8.6,76678,movie,19.896,8.402,1006,8.55959,1376.0,Tatsuya Nakadai, Akira Ishihama, Shima Iwashita,100%,85/100,0,0,0,0,9,3
4300,I Origins,2014,R,18 Jul 2014,Drama,"Drama, Mystery, Romance",106.0,Mike Cahill,Mike Cahill,"Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey",A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.,"English, Hindi",United States,2 wins & 3 nominations total,336472.0,57.0,7.3,136213,movie,19.892,7.587,3206,7.35464,4912.0,Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey,52%,57/100,0,0,0,0,2,3
4301,City of Ember,2008,PG,10 Oct 2008,Adventure,"Adventure, Drama, Family",90.0,Gil Kenan,"Caroline Thompson, Jeanne Duprau","Saoirse Ronan, Toby Jones, Bill Murray","For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker.",English,United States,6 nominations,7873007.0,58.0,6.4,70784,movie,19.889,6.3,1725,6.98789,2973.0,Saoirse Ronan, Toby Jones, Bill Murray,53%,58/100,0,0,0,0,0,0
